ID,Question,Difficulty,A,B,C,D,Correct Answer
1,How do software maintenance costs compare to development?,3,Often higher than development,Negligible ,Always equal,About half,A
2,What is a major drawback of the Waterfall model?,2,Inflexible to change,Proceeding too fast,Has no documentation,Is not applicable for large teams,A
3,Non-functional requirements define:,3,System constraints/properties,Specific system services,Database schemas,User inputs,A
4,Correct order of Risk Management activities?,4,"Identify, Analyze, Plan, Monitor","Monitor, Plan, Analyze, Identify","Plan, Identify, Monitor, Analyze","Analyze, Plan, Identify, Monitor",A
5,"The term ""Validation"" asks which question?",3,Are we building the right product?,Are we building the product right?,Is the code efficient?,Is the budget sufficient?,A
6,When is defect removal most expensive?,1,Operation/Field,Requirements ,Design ,Testing ,A
7,The MVC pattern separates:,2,Presentation from data,User from hardware ,Input from output,Online from offline,A
8,What does the Singleton pattern ensure?,2,One instance of a class,Multiple object copies,Public access only,Database connectivity,A
9,"The term ""Affordance"" refers to ",3,Clues on object use,Software price,Processor speed,Memory limit,A
10,White-Box testing focuses on:,1,Internal structure/logic,Output behavior only,User experience,Requirements gathering,A
11,Black-Box testing focuses on:,1,Erroneous outputs/behavior,Code complexity,Internal structure/logic,Variable initialization,A
12,"An ""Equivalence Class"" is:",1,Inputs producing same behavior,A Java class ,A design pattern,A class the checks booleans,A
13,Which is a Gang of Four (GoF) design pattern category?,2,Creational,Relational ,Functional ,Operational ,A
14,What do Sequence Diagrams show?,2,Interactions between actors and objects,Exact database tables,Hardware deployment,State transitions only,A
15,"Does ""Open Source"" mean no usage restrictions?",1,"No, licenses may restrict use","Yes, always",Only for juniors,Only if paid for,A
16,Use Cases primarily identify,2,Actors and interactions,Internal algorithms,Hardware specs,Database keys,A
17,"In UI design, ""Constraints"" serve to:",3,Restrict actions to prevent errors,Increase processing speed,Improve color contrast,Give immediate feedback,A
18,"Which Design Pattern is classified as ""Behavioral""",4,Observer,Adapter,Factory Method,Singleton,A
19,What is the primary focus of Integration Testing?,3,Combining modules to check the product as a whole,Testing individual units in isolation,Checking marketing materials,Writing code comments,A
20,"What is the standard use of ""Shall"" vs. ""Should"" in requirements?",2,Shall = Mandatory; Should = Desirable,Interchangeable,Shall = Desirable; Should = Mandatory,Shall = Legal; Should = Technical,A
,Who abuses the janitors at the university?,1,Tom,Tali,Liran,Ohad,A
